,app名称,日期,平台,达人名称,达人id,星广任务id,素材标签,书名称,素材md5,素材名称,素材id,素材url,ai素材分类,素材投放日期,素材上传日期,素材类型,消耗,投放激活数,ecpm,实际付费率,实际付费成本,付费收入占比,1日roi,3日roi,7日roi,14日roi,30日roi,累计30日roi,次留率,3日留存率,7日留存率,14日留存率,性别分布,年龄分布,男性用户占比,18以上用户占比,视频3秒播放率,点击率,投放激活成本,激活率,注册率,注册成本,关键行为率,关键行为成本,实际付费成本,实际付费率,素材消耗,含素材消耗,含素材1日roi,含素材3日roi,含素材7日roi,含素材14日roi,含素材30日roi
FALSE,点点穿书,20260410至20260416,头条,炫酷大薯条,,"	7594299601063165994","头条,星广,7594299601063165994,炫酷大薯条",总,76a1ad1ef1c022bc144999f7c898a54f,"这年头饲养员也太难当了吧 #点点穿书#成为怪物饲养员后我被疯批团宠了","	7613345432355094579",https://douyin.com/video/7613345032543784235,解说类,2026-03-05,,竖版视频,4119.84,426,6.62,20.42%,47.35,72.86%,31.28%,44.41%,44.62%,0%,0%,45.38%,23.43%,12.53%,6.82%,0%,"男:73,女:328,未知:25","12岁以下:0,12-18岁:92,18-25岁:285,25-40岁:17,40岁以上:3,未知:29",17.14%,71.60%,44.36%,1.73%,9.67,3.14%,27.14%,44.78,20.35%,59.71,47.35,20.42%,,4119.84,31.28%,44.41%,44.62%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,,总,e49fddfb4094395dd35c0d0f0b6616b2,"	7599940099262218266","	7599940099262218266",https://ad.oceanengine.com/pages/video-player-safe/index.html?code=v02033g10000d5s6ilqljht366h9oq10,,2026-01-28,,竖版视频,4041.55,547,15.71,12.61%,58.57,55.25%,24.16%,34.51%,27.98%,0%,0%,32.30%,23.86%,12.62%,5.88%,0%,"男:39,女:486,未知:22","12岁以下:0,12-18岁:155,18-25岁:329,25-40岁:24,40岁以上:5,未知:34",7.13%,65.45%,63.78%,2.19%,7.39,5.34%,23.92%,56.13,26.91%,49.9,58.57,12.61%,,4041.55,24.16%,34.51%,27.98%,0%,0%
FALSE,点点穿书,20260410至20260416,"头条,广点通,快手",,,,"录屏,剧情互动,oppo屏蔽,LYYXCCXCC,古代市井宫廷恋爱,种子户过,D311,二剪前贴,广点通,内广过,优量汇过,快手,JB240318刘宇27145,头条,原始,跑量",总,43100c687491faa61b4938877a205928,240902回五偏执帝王四版,"	7409868803964534838",http://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/43/43100c687491faa61b4938877a205928.mp4,营销号类,2024-09-03,2024-09-02,竖版视频,3863.65,1037,11.42,7.71%,48.3,49.67%,24.01%,37.90%,38.91%,0%,0%,39.34%,22.01%,9.63%,6.96%,0%,"男:127,女:822,未知:88","12岁以下:0,12-18岁:441,18-25岁:465,25-40岁:25,40岁以上:11,未知:95",12.25%,48.31%,24.31%,8.97%,3.73,1.66%,25.30%,30.42,21.12%,36.45,48.3,7.71%,,3863.65,24.01%,37.90%,38.91%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,小柚的日常,,"	7594299601063165994","头条,星广,7594299601063165994,小柚的日常",总,c838604cadcf70970449ef747866fc59,"心猛地颤抖...殿上欢！你还是太权威了！！！ #点点穿书软件 #精美立绘 #殿上欢 #文游","	7600971664998367274",https://douyin.com/video/7600971426081918242,解说类,2026-01-30,,竖版视频,3838.14,493,9.88,17.65%,44.12,61.32%,31.99%,51.17%,76.72%,0%,0%,53.86%,31.66%,15.24%,9.09%,0%,"男:138,女:335,未知:20","12岁以下:0,12-18岁:126,18-25岁:326,25-40岁:15,40岁以上:2,未知:24",27.99%,69.57%,62.62%,2.04%,7.79,5.44%,23.15%,38.38,21.99%,40.4,44.12,17.65%,,3838.14,31.99%,51.17%,76.72%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,我的将军啊✨,,"	7553186719538593855","头条,星广,7553186719538593855,我的将军啊✨",总,f1969b902de23906fe46976a79cbda46,"疯批病娇，双男主，饲养怪物，这设定我真的爱了！ #漫画推荐 #点点穿书 #小说 #小说推荐","	7569483058912116763",https://douyin.com/video/7569482919669498801,解说类,2025-11-06,,竖版视频,3713.97,424,14.94,17.22%,50.88,63.51%,28.24%,29.81%,21.88%,0%,0%,40.76%,28.90%,16.90%,9.09%,0%,"男:91,女:305,未知:28","12岁以下:0,12-18岁:97,18-25岁:272,25-40岁:20,40岁以上:1,未知:34",21.46%,69.10%,66.26%,1.22%,8.76,11.56%,20.86%,50.88,22.29%,47.62,50.88,17.22%,,3713.97,28.24%,29.81%,21.88%,0%,0%
FALSE,点点穿书-ios,20260410至20260416,头条,萍萍我吖,,"	7529734117934039082","头条,星广,7529734117934039082,萍萍我吖",总,7b6e51e24ce55e011a95fd9b93c7ad59,"自己当一把小说女主 #点点穿书 #小说","	7548061264227418112",https://douyin.com/video/7548061245656763708,真人类,2025-09-10,,竖版视频,3610.05,504,40.94,18.85%,38,79.44%,29.24%,57.33%,107.56%,0%,0%,52.13%,28.91%,12.21%,6.33%,0%,"男:19,女:478,未知:7","12岁以下:0,12-18岁:56,18-25岁:390,25-40岁:50,40岁以上:0,未知:8",3.77%,87.30%,57.36%,2.15%,7.16,23.77%,17.29%,46.28,11.75%,68.11,38,18.85%,,3610.05,29.24%,57.33%,107.56%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,,,,"抖音,潘智峰,#殿上欢,头条,新dsh,快手,录屏,解说推荐,JB240513孟芫30051,兼职剪辑,自营剧情,ai配音解说,百度,HYYMYZMYZ,聚星,孟芫小组,原始",总,e6186283d0d7f550542480a0c3d4e004,260326回三全都全都,"	7621633687448797235",https://toufang-public.huixuanjiasu.com/pl_video/e6/e6186283d0d7f550542480a0c3d4e004.mp4,解说类,2026-03-27,2026-03-26,竖版视频,3289.33,471,10.9,9.77%,71.51,47.18%,16.66%,29.70%,28.33%,0%,0%,27.80%,21.69%,12.57%,7.41%,0%,"男:112,女:338,未知:21","12岁以下:0,12-18岁:151,18-25岁:280,25-40岁:17,40岁以上:4,未知:19",23.78%,63.91%,59.93%,2.11%,6.98,6.31%,11.72%,69.99,13.47%,60.91,71.51,9.77%,,3289.33,16.66%,29.70%,28.33%,0%,0%
FALSE,点点穿书,20260410至20260416,头条,做动画好烦,,"	7582192822373023807","头条,星广,7582192822373023807,做动画好烦",总,a14bc6595a226007daf5ebcae1be76e1,这就是调教的快乐嘛#被病娇侵占后：和怪物们同居了#二次元#精美立绘#自由度高外R,"	7587632779465441280",https://douyin.com/video/7587632716426857738,声优类,2025-12-26,,竖版视频,3232.01,568,7.43,13.38%,42.53,72.18%,42.30%,80.92%,87.72%,0%,0%,79.31%,20.09%,14.32%,7.69%,0%,"男:445,女:106,未知:17","12岁以下:0,12-18岁:63,18-25岁:426,25-40岁:52,40岁以上:4,未知:23",78.35%,84.86%,39.17%,1.12%,5.69,10.00%,18.28%,36.31,13.35%,49.72,42.53,13.38%,,3232.01,42.30%,80.92%,87.72%,0%,0%
FALSE,点点穿书,20260410至20260412,头条,无人岛屿,,"	7582192822373023807","头条,星广,7582192822373023807,无人岛屿",总,80a0ea2a5f34fe86b5a88e4b0a8dc80a,这才是我们大馋丫头该玩的游戏#殿上欢·全性向恋爱养成#多线剧情#文游#大学生RR-302,"	7605105833895313434",https://douyin.com/video/7605105749269744936,解说类,2026-02-15,,竖版视频,3114.86,527,13.46,16.51%,35.8,66.35%,32.76%,55.01%,52.60%,0%,0%,62.73%,22.39%,10.44%,4.90%,0%,"男:209,女:300,未知:18","12岁以下:0,12-18岁:127,18-25岁:355,25-40岁:22,40岁以上:0,未知:23",39.66%,71.54%,68.48%,1.47%,5.91,13.74%,20.94%,31.78,16.03%,41.53,35.8,16.51%,,3114.86,32.76%,55.01%,52.60%,0%,0%
FALSE,点点穿书,20260410至20260416,"广点通,快手,百度",,,,"优量汇过,百度,原始,快手,JB250120孙欣仪42652,内广过,通用女配,HYYMYZMYZ,抖音,广点通,新viusalnv,头条,录屏",总,9760bd3f91b3d81c5426afb3769c2db1,250125回三混剪8,9427000957,https://toufang-public.oss-cn-beijing.aliyuncs.com/pl_video/97/9760bd3f91b3d81c5426afb3769c2db1.mp4,营销号类,2025-01-26,2025-01-25,竖版视频,3088.82,1348,8.15,3.04%,75.34,31.67%,20.88%,31.27%,52.32%,0%,0%,34.97%,20.83%,7.56%,3.06%,0%,"男:117,女:1173,未知:60","12岁以下:0,12-18岁:744,18-25岁:489,25-40岁:30,40岁以上:23,未知:64",8.68%,40.21%,0.00%,2.04%,2.29,9.69%,26.67%,15.44,10.93%,37.67,75.34,3.04%,,3088.82,20.88%,31.27%,52.32%,0%,0%
